Référence;EAN 13;EAN 14 SPCB;EAN 14 PCB;Désignation;PCB;SPCB;Longueur PCB (cm);Largeur PCB (cm);Hauteur PCB (cm);Poids PCB (kg);Poids UVC;Volume (m3)
4181;3118220041813;;;TIRE BOUCHON LAG ABS BLEU ML;24.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0
4182;3118220041820;;;DECAPSULATEUR LAGUIOLE MARBRE GRIS;400.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0
5012;3118220050129;;;BLOC DROIT EN PIN 6CX GRILLADE;40.0;4.0;60.0;42.0;33.0;12.299;0.307475;0.08316000000000001
19524;3118220012462;;;BOITE DE 12 STEAK MANCHE BOIS PRO MUNDI AUSTRALIE;12.0;12.0;26.0;24.0;29.0;16.46;1.3716666666666668;0.018096
40300;3118224030004;;;BIVOUAC EN COFFRET BOIS;6.0;6.0;31.5;29.0;13.0;3.293;0.5488333333333334;0.0118755
99540;3118220570993;;;COUTEAU GRILLADE BOIS VRAC;240.0;12.0;35.0;26.0;35.5;9.64;0.04016666666666667;0.032305
108780;3118221087803;;;POT PET VIDE POUR M24 BISTROT;9.0;9.0;22.0;8.5;8.5;0.72;0.08;0.0015895
123738;3118221237383;;;COFFRET CARTON VIDE POUR 6 COUT LAG TRADITION MANCHE NOIR;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
136062;3118221360623;;;BOITE VIDE M16 LISA ALBAN COLLECTION INOX;30.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0
136221;3118221362214;;;COFFRET VIDE M16 ACIDULE BEE ABS BTE LARGE 38*30*5.4;20.0;20.0;0.0;0.0;0.0;26.18;1.309;0.0
136560;3118221365604;;;POT PRESENTATION COUVERTS POUR LINEAIRE H14.6*D8.8CM;24.0;24.0;38.0;28.0;16.0;10.56;0.44;0.017024
136561;3118221365611;;;POT PRESENTATION COUVERTS POUR LINEAIRE H12.7*D7.5CM;12.0;12.0;32.0;24.0;13.5;5.16;0.43;0.010367999999999999
238955;3222472389552;;;FUSIL POLYPRO;48.0;3.0;60.5;41.0;14.5;17.992;0.37483333333333335;0.03596725
238956;3222472389569;;;PIERRE A AIGUISER;60.0;6.0;40.4;29.7;20.5;11.09;0.18483333333333332;0.024597539999999998
238961;3222472389613;;;LOT 2 OFFICES POLYPRO;180.0;6.0;40.0;30.0;40.0;12.48;0.06933333333333333;0.048
238963;3222472389637;;;LOT 2 EPLUCHEURS POLYPRO;120.0;12.0;40.0;30.0;40.0;7.8;0.065;0.048
238966;3222472389668;;;LOT 2 GRILLADES POLYPRO;180.0;6.0;40.0;30.0;40.0;15.61;0.08672222222222221;0.048
238989;3222472389897;;;CT STEAK NEW RECORD;252.0;18.0;41.0;29.0;20.5;6.941;0.027543650793650794;0.024374499999999997
260448;3222472604488;;;GRILLADE BOIS RIVETS CASINO;240.0;12.0;34.5;26.0;36.0;9.84;0.041;0.032291999999999994
300330;3118223003306;13118223003303;23118223003300;COUTEAU CLEO 10/10;432.0;12.0;31.0;26.5;14.5;18.576;0.043000000000000003;0.01191175
302104;3118223021041;;;COUTEAU TABLE TROQUET ROUGE PS;120.0;12.0;31.5;29.0;13.5;4.26;0.0355;0.01233225
302134;3118223021348;;;CUILLERE CAFE TROQUET ROUGE PS;120.0;12.0;31.5;29.0;13.5;3.5;0.029166666666666667;0.01233225
302280;3118223022802;;;FOURCHETTE A DECOUPER FORGE;144.0;12.0;35.5;25.0;36.5;22.252;0.15452777777777776;0.03239375
302539;3118223025308;;;OFFICE 9CM CHALET SOUS SLEEVE +GENCOD;360.0;12.0;40.5;32.0;20.0;15.18;0.042166666666666665;0.025920000000000006
302900;3118223029009;;;TARTINEUR 6CM RECORD;360.0;12.0;40.0;30.0;20.0;8.94;0.024833333333333332;0.024
303130;3118223031309;;;COUTEAU OFFICE CHEF;150.0;150.0;36.0;30.0;18.5;5.4;0.036000000000000004;0.019979999999999998
303160;3118223031606;;;LANCETTE HUITRE BOIS;180.0;30.0;28.0;24.5;20.5;11.88;0.066;0.014063
303178;3118223031781;;;CT HUITRE PLASTIQUE GARDE NOIR;96.0;6.0;40.0;30.0;20.0;4.914;0.0511875;0.024
303180;3118223031804;;;CT HUITRE POLYPRO SANS GARDE NOIR;300.0;300.0;30.0;30.0;20.0;11.4;0.038;0.018
303230;3118220007574;;;AIGUISEUR PROFESSIONNEL;36.0;6.0;48.0;26.5;23.5;14.263;0.39619444444444446;0.029891999999999995
303239;3118223032306;;;AIGUISEUR PROFESSIONNEL + GENCOD;48.0;6.0;61.0;41.0;14.5;17.906;0.37304166666666666;0.0362645
