Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
300330;COUTEAU CLEO 10/10;CLEO TABLE KNIFE;HONGXING;2013-09-23;Cleo;Vrac;1.0;3118223003306;13118223003303;23118223003300;82159910000.0;2.8;216;42;2CR14;13; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX TREMPE;4 x 18;Opposé dentelure;Non;Each blade shrunk in a plastic with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 12 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 36 boxes in a master carton (=432 pieces).; /; /; /; /; /;12.0;432.0;14.5;31.0;26.5;0.01191175;0.043000000000000003
303160;LANCETTE HUITRE BOIS;PROFESSIONAL OYSTER KNIFE;GARWIN;2013-09-23;Vrac bois;Vrac;1.0;3118223031606;0;0;82119200000.0;;;;;;;;;;;;;;;;;;;;;;;;30.0;180.0;20.5;28.0;24.5;0.014063;0.066
304109;BEURRE LAG PALIS 12/10 MI GENCOD;SPREADER WOOD HANDLE;JIT GLOBAL;2013-09-23;Laguiole;Vrac;1.0;3118223041018;13118223041015;23118223041012;82151030000.0;1.2;160;;2CR14;13; /;Rosewood with FSC 100%-3 rivets-Stainless steel bolsters;Wood; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 15;Côté dentelure;;;;;;;;12.0;360.0;30.0;23.5;20.0;0.014099999999999996;0.026916666666666665
313788;STEAK 11CM LAG EXPRESSION LAG EVOLUTION;LAGUIOLE EXPRESSION STEAK KNIFE;BONLY;2023-12-10;Expression;Vrac;1.0;3118223137889;13118223137886;23118223137883;82119200000.0;2.1;232;96;3CR14;13;Mirror polishing;POM (2 stainless steel rivets + bee logo on bolster);Black; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 16;Côté tranchant;;;;;;;;120.0;120.0;7.0;26.7;6.0;0.0011213999999999998;0.01
314410;STEAK 11CM  LAG EXPRESSION MANCHE BOIS NOIR;STEAK KNIFE EXPRESSION LAG BLACK WOOD HANDLE;GUANGWEI;2013-09-25;Expression;Vrac;1.0;3118223144108;13118223144105;23118223144102;82119100000.0;;;;;;;;;;;;;;;;;;;;;;;;120.0;120.0;33.0;29.5;22.5;0.021903749999999996;0.11658333333333333
314640;DOUBLE AIGUISEUR DIAMANT VRAC COULEUR NOIR;DOUBLE SIDE DIAMOND FOLDING SHARPENER;TAIDEA;2013-10-01;Aiguisage;Vrac;1.0;0;0;0;8205510000.0;6;125;30;Diamond stainless steel; /;100;ABS;Black; /; /; /; /; /;600# and 300#; /; /;;;;;;;;100.0;100.0;0.0;0.0;0.0;0.0;0.0
400520;COUTEAU VIEUX PARIS + GENCOD;TABLE KNIFE VIEUX PARIS + BARCOD;WANXIN;2013-09-23;Vieux paris;Vrac;1.0;3118224005200;0;0;82119100000.0;6;240;82;;13;Mirror polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,5 X 17;Côté dentelure;;;;;;;;6.0;240.0;24.0;44.5;26.0;0.027767999999999998;0.0888875
400530;FOURCHETTE VIEUX PARIS + GENCOD;TABLE FORK VIEUX PARIS + BARCOD;WANXIN;2013-09-23;Vieux paris;Vrac;1.0;3118224005309;0;0;82159910000.0;2.2;202;40;18/0;16-18;Mirror polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,2 X 13,5;Derrière haut manche;;;;;;;;6.0;240.0;24.0;44.5;25.5;0.027234;0.042333333333333334
400540;CUILLERE VIEUX PARIS + GENCOD;TABLE SPOON VIEUX PARIS + BARCOD;WANXIN;2013-09-23;Vieux paris;Vrac;1.0;3118224005408;0;0;82159910000.0;2.2;215;60;18/0;16-18;Mirror polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,2 X 13,5;Derrière haut manche;;;;;;;;6.0;240.0;24.5;44.5;25.5;0.027801375000000003;0.06561666666666667
400550;CAFE VIEUX PARIS + GENCOD;TABLE TEA SPOON VIEUX PARIS + BARCOD;WANXIN;2013-09-23;Vieux paris;Vrac;1.0;3118224005507;13118224005504;23118224005501;82159910000.0;2;151;26;18/0;16-18;Mirror polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,2 x 13,5;Derrière haut manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;22.0;45.0;18.5;0.018315;0.029845833333333335
401740;PIERRE A AIGUISER EN BOITE TB COLLECTION;SHARPENING STONE IN TB COLLECTION BOX;HIAMEA;2013-09-23;Aiguisage;Vrac;1.0;3118224017401;0;0;68043000000.0;15;240;;35;180 grain size;;Magnesia, Magnesuim Chloride, Bitter Salt, Conventional abrasive – Brown fused Alumina (corundum) 180 #; /; /; /; /; /; /; /; /; /;;;;;;;;6.0;60.0;19.0;36.0;28.5;0.019494;0.19649999999999998
402620;LOT 6 FTTES CLEO 18% 10/10;CLEO TABLE FORKS X6;HONGXING;2013-09-23;Cleo;Lot;6.0;3118224026205;13118224026202;23118224026209;82159910000.0;1;193;22;18/0;16-18; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX;18 X 2;Derrière manche;;6 pieces stuck with red tape and sticker on the handle (french description - barcode - Imported by - N° Lot - picto) - then 10 sets of 6 pieces in a white neutral box with sticker (description - barcode- quantity - n° lot written as a barcode) - then 12 white boxes in a master carton ( = 120 sets) with EAN 13 and EAN 14;;;;;;10.0;120.0;17.0;29.0;22.0;0.010846;0.14279999999999998
402630;LOT 6 CUILL CLEO 18% 10/10;CLEO TABLE SPOONS X6;HONGXING;2013-09-23;Cleo;Lot;6.0;3118224026304;13118224026301;23118224026308;82159910000.0;1;190;31;18/0;16-18; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX;18 X 2;Derrière manche;;6 pieces stuck with red tape and sticker on the handle (french description - barcode - Imported by - N° Lot - picto) - then 10 sets of 6 pieces in a white neutral box with sticker (description - barcode- quantity - n° lot written as a barcode) - then 12 white boxes in a master carton ( = 120 sets) with EAN 13 and EAN 14;;;;;;10.0;120.0;22.5;28.5;22.5;0.014428125;0.19116666666666668
402640;LOT 6 CAFES CLEO 18% 10/10;CLEO TEA SPOONS X6;HONGXING;2013-09-23;Cleo;Lot;6.0;3118224026403;13118224026400;23118224026407;82159910000.0;0.8;136;13;18/0;16-18; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX;18 X 2;Derrière manche;;6 pieces stuck with red tape and sticker on the handle (french description - barcode - Imported by - N° Lot - picto) - then 20 sets of 6 pieces in a white neutral box with sticker (description - barcode- quantity - n° lot written as a barcode) - then 10 white boxes in a master carton ( = 200 sets) with EAN 13 and EAN 14;;;;;;20.0;200.0;25.0;19.0;17.0;0.008075;0.08134999999999999
