Intermédiaire;Date envoi de la commande;MEN#;PO#;N° Lot;Fournisseur;OP/Client/Appro;Acompte;Alerte;Etat de la commande;Payé ?;"Nombre de mois 
(de la commande à la livraison)";Artwork;REF;Désignation;Quantité;PU;Prix / référence;Total prix commande;Frais supp;Total prix sur facture ;PCB;Volume m3  PCB;Volume m3 réfernce total;Volume m3 commande;"Matière
(MAT)";"Semi-production
(SP)";"Echantillon de
conformité";"Production
(BAT)";Date inspection;Rapport d'inspection;"Réception
(RECEP)";"Non-conformité
(NCR)";ETD confirmé;"Retard 
(jours)";ETD réel;ETA;Date de livraison;Lieu de livraison;N° BL;N° Conteneur;N° Facture;Transport ;Transitaire;Colis/pièces manquantes
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Forming Molding fee;1.0;3636;3636;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Shaping molding fee;1.0;420;420;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Customized ceramic plate ;1.0;839;839;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-05-23;25043;16587.0;Pas de N°;HUAYING;GDD;Aucun; /;Livrée le 03/02/2026;2026-01-19 00:00:00;8;Aucun;Comp0441;PLAQUETTE DIAMANT BAIONNETTE ARMEE;1000.0;0.75;750;750;280.0;1030;500.0;0.0028440000000000006;0.005688000000000001;0.005688000000000001;Aucune;Aucune;Validé;Conforme;2025-11-27 00:00:00;OK 4947566.00-16;;;2025-07-15 00:00:00;150;2025-12-12 00:00:00;2026-01-24 00:00:00;2026-02-03 08:00:00;GDD;SZSE2513234;CMAU6128009;HY250902;CMA CGM SCANDOLA;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410021;KIT COFFRET SET 3 PCE SEB_TEFAL;1800.0;0.987;1776.6;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410023;KIT COFFRET SANTOKU SEB_TEFAL;5200.0;0.58;3016;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410024;KIT COFFRET UTILITY SEB_TEFAL;6900.0;0.475;3277.5;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410036;KIT COFFRET CHEF SEB_TEFAL;5200.0;0.58;3016;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410021;KIT COFFRET SET 3 PCE SEB_TEFAL;3200.0;0.987;3158.4;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410023;KIT COFFRET SANTOKU SEB_TEFAL;7320.0;0.58;4245.599999999999;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
